ownerAddress,value
0x0a98f97e89743406a8611e1b4219a073b60ffed3,0
0x0a98f97e89743406a8611e1b4219a073b60ffed3,1
0x0a98f97e89743406a8611e1b4219a073b60ffed3,2
0x129c6695dfe7a906bd8fda202d26dfff601f83a4,0
0x129c6695dfe7a906bd8fda202d26dfff601f83a4,1
0x1566ae673ae80725bcce901b486c336e6acef465,0
0x1566ae673ae80725bcce901b486c336e6acef465,1
0x3d423e1b53633e12b4faa112c9a01246079ae9c7,0
0x3d423e1b53633e12b4faa112c9a01246079ae9c7,1
0xabaa9736156cae7236a117de2082b1543fa0551f,0
0xabaa9736156cae7236a117de2082b1543fa0551f,1
0xcd82365145305e1a3f9226bd0aaf8f72e6920c05,0
0xcd82365145305e1a3f9226bd0aaf8f72e6920c05,1
0x3cb63b82d778105e43f064ed739b0655f1f0fb87,0
0x3cb63b82d778105e43f064ed739b0655f1f0fb87,1
0xd40b63bf04a44e43fbfe5784bcf22acaab34a180,0
0xd40b63bf04a44e43fbfe5784bcf22acaab34a180,1
0xd40b63bf04a44e43fbfe5784bcf22acaab34a180,2
0xd40b63bf04a44e43fbfe5784bcf22acaab34a180,3
0x45855a3f4404aa08ffe14a366c75663f4ded2fac,0
0x45855a3f4404aa08ffe14a366c75663f4ded2fac,1
0x575f6540c16a72696c14a17fa64f049992d661ab,0
0x575f6540c16a72696c14a17fa64f049992d661ab,1
0xe9b5a2529ad21454cb5e4d172dcb4bc501789463,0
0xe9b5a2529ad21454cb5e4d172dcb4bc501789463,1
0x64f7de90dc79d775703bbec66a1591c7a26a22f0,0
0x64f7de90dc79d775703bbec66a1591c7a26a22f0,1
0xad9242795ad7fe630adda2b29ed39a4f4c4fd84b,0
0xad9242795ad7fe630adda2b29ed39a4f4c4fd84b,1
0xad9242795ad7fe630adda2b29ed39a4f4c4fd84b,2
0xb2d866297dbc7c7d8ad045c05afb48a95f28fb3c,0
0xb2d866297dbc7c7d8ad045c05afb48a95f28fb3c,1
0xb2d866297dbc7c7d8ad045c05afb48a95f28fb3c,2
0x6f113b0c8c7266d7514e4986e3d6aaf013b6754f,0
0x6f113b0c8c7266d7514e4986e3d6aaf013b6754f,1
0x729fcbb6e1289c88ce5113ec1c83a48a8e3c9f2f,0
0x729fcbb6e1289c88ce5113ec1c83a48a8e3c9f2f,1
0x7546c60ae8d65dc6dd7a0f61c169818059ef49db,0
0x7546c60ae8d65dc6dd7a0f61c169818059ef49db,1
0x76db02500f7631d57bc2dcdca9d4cf782b99e119,0
0x76db02500f7631d57bc2dcdca9d4cf782b99e119,1
0x80a1c9fdc26199a69d190ebc8ad287ef48758977,0
0x80a1c9fdc26199a69d190ebc8ad287ef48758977,1
0x8476b6a8aa0b4037e69e79f116f662aa0096b0c0,0
0x8476b6a8aa0b4037e69e79f116f662aa0096b0c0,1
0x896b94f4f27f12369698c302e2049cae86936bbb,0
0x896b94f4f27f12369698c302e2049cae86936bbb,1
0x62da56c6f6a58d9c0efd4e67a9c05dd819f3019a,0
0x62da56c6f6a58d9c0efd4e67a9c05dd819f3019a,1
0x982d3c5223f6b5794fccb3208eb164d042cf2526,0
0x982d3c5223f6b5794fccb3208eb164d042cf2526,1
0xab2056903a7b62bac46f45a3d7a70ac799ca88cb,0
0xab2056903a7b62bac46f45a3d7a70ac799ca88cb,1
0xb5374cac6cad6b025246f19d20b0d4151b640558,0
0xb5374cac6cad6b025246f19d20b0d4151b640558,1
0xb6b4a02dca517564eb98790ff67d42b5b37a3d4e,0
0xb6b4a02dca517564eb98790ff67d42b5b37a3d4e,1
0xb6cf25f5cf8a1e1727d988facdd47f1dfc492caf,0
0xb6cf25f5cf8a1e1727d988facdd47f1dfc492caf,1
0xbbdd72fcce73c2626719be00259ddffef0d5673d,0
0xbbdd72fcce73c2626719be00259ddffef0d5673d,1
0xc2419841dcb9a0f8906d06463ae24e00e1470846,0
0xc2419841dcb9a0f8906d06463ae24e00e1470846,1
0xc26012491b9dfb2e6f2cb0305673e212721d5950,0
0xc26012491b9dfb2e6f2cb0305673e212721d5950,1
