ownerAddress,value
0x0a98f97e89743406a8611e1b4219a073b60ffed3,0
0x0a98f97e89743406a8611e1b4219a073b60ffed3,1
0x0a98f97e89743406a8611e1b4219a073b60ffed3,2
0x1566ae673ae80725bcce901b486c336e6acef465,0
0x1566ae673ae80725bcce901b486c336e6acef465,1
0x248458947c120ca057ec028b3fe7e4b3f26fdb3d,0
0x248458947c120ca057ec028b3fe7e4b3f26fdb3d,1
0x25079298fb99886347b9af7fec321799775c6bce,0
0x25079298fb99886347b9af7fec321799775c6bce,1
0x2c8875f34ceb219f61b7453b2c5f100ec2f6ed33,0
0x2c8875f34ceb219f61b7453b2c5f100ec2f6ed33,1
0x2cd03d3ce4c5ec075f259ccc85d19706a9090dcc,0
0x2cd03d3ce4c5ec075f259ccc85d19706a9090dcc,1
0xc07a67f50eb5bf18fd0c140c702a3032faa3681c,0
0xc07a67f50eb5bf18fd0c140c702a3032faa3681c,1
0xcd82365145305e1a3f9226bd0aaf8f72e6920c05,0
0xcd82365145305e1a3f9226bd0aaf8f72e6920c05,1
0x378bcce7235d53bbc3774bff8559191f06e6818e,0
0x378bcce7235d53bbc3774bff8559191f06e6818e,1
0x3cb63b82d778105e43f064ed739b0655f1f0fb87,0
0x3cb63b82d778105e43f064ed739b0655f1f0fb87,1
0xd40b63bf04a44e43fbfe5784bcf22acaab34a180,0
0xd40b63bf04a44e43fbfe5784bcf22acaab34a180,1
0xd40b63bf04a44e43fbfe5784bcf22acaab34a180,2
0xd40b63bf04a44e43fbfe5784bcf22acaab34a180,3
0x45855a3f4404aa08ffe14a366c75663f4ded2fac,0
0x45855a3f4404aa08ffe14a366c75663f4ded2fac,1
0x575f6540c16a72696c14a17fa64f049992d661ab,0
0x575f6540c16a72696c14a17fa64f049992d661ab,1
0x61d9d9cc8c3203dab7100ea79ced77587201c990,0
0x61d9d9cc8c3203dab7100ea79ced77587201c990,1
0x64f7de90dc79d775703bbec66a1591c7a26a22f0,0
0x64f7de90dc79d775703bbec66a1591c7a26a22f0,1
0x665654f2d2a151be2d0f8e3697e6ce780f732af2,0
0x665654f2d2a151be2d0f8e3697e6ce780f732af2,1
0xad9242795ad7fe630adda2b29ed39a4f4c4fd84b,0
0xad9242795ad7fe630adda2b29ed39a4f4c4fd84b,1
0xad9242795ad7fe630adda2b29ed39a4f4c4fd84b,2
0x6b4b60cd239b5b7947c98bb2b9bbd01db5bdf44c,0
0x6b4b60cd239b5b7947c98bb2b9bbd01db5bdf44c,1
0x6ba228524d45c772d7643bb60c6bed2cd3dcf053,0
0x6ba228524d45c772d7643bb60c6bed2cd3dcf053,1
0xb2d866297dbc7c7d8ad045c05afb48a95f28fb3c,0
0xb2d866297dbc7c7d8ad045c05afb48a95f28fb3c,1
0x729fcbb6e1289c88ce5113ec1c83a48a8e3c9f2f,0
0x729fcbb6e1289c88ce5113ec1c83a48a8e3c9f2f,1
0x73bcb8c5e30bf85806aade7fc36f16c6b80fd3b9,0
0x73bcb8c5e30bf85806aade7fc36f16c6b80fd3b9,1
0x7546c60ae8d65dc6dd7a0f61c169818059ef49db,0
0x7546c60ae8d65dc6dd7a0f61c169818059ef49db,1
0x76db02500f7631d57bc2dcdca9d4cf782b99e119,0
0x76db02500f7631d57bc2dcdca9d4cf782b99e119,1
0x8ea76483c888f5bda7d96cab9839488f691daf78,0
0x8ea76483c888f5bda7d96cab9839488f691daf78,1
0x9dbd781eeba135ad2a779926880adc89196a3265,0
0x9dbd781eeba135ad2a779926880adc89196a3265,1
0xa32f90b21d11561d31ff604745907acc77fb67e3,0
0xa32f90b21d11561d31ff604745907acc77fb67e3,1
0xa71000e72d38e6a84d7190f59fd3dfc73931c0e8,0
0xa71000e72d38e6a84d7190f59fd3dfc73931c0e8,1
0xab2056903a7b62bac46f45a3d7a70ac799ca88cb,0
0xab2056903a7b62bac46f45a3d7a70ac799ca88cb,1
0xae0d16586e5d60d334624c115216a52b9b1a0335,0
0xae0d16586e5d60d334624c115216a52b9b1a0335,1
0xb5374cac6cad6b025246f19d20b0d4151b640558,0
