ownerAddress,value
0xbbdd72fcce73c2626719be00259ddffef0d5673d,0
0xbbdd72fcce73c2626719be00259ddffef0d5673d,1
0xbbdd72fcce73c2626719be00259ddffef0d5673d,2
0xbbdd72fcce73c2626719be00259ddffef0d5673d,3
0xbbdd72fcce73c2626719be00259ddffef0d5673d,4
0xe359ab04cec41ac8c62bc5016c10c749c7de5480,0
0xe359ab04cec41ac8c62bc5016c10c749c7de5480,1
0xe359ab04cec41ac8c62bc5016c10c749c7de5480,2
0xe359ab04cec41ac8c62bc5016c10c749c7de5480,3
0xe359ab04cec41ac8c62bc5016c10c749c7de5480,4
0x0887773b5f43c58f0da7bd0402fc2d49482eb845,0
0x0887773b5f43c58f0da7bd0402fc2d49482eb845,1
0x0887773b5f43c58f0da7bd0402fc2d49482eb845,2
0x0887773b5f43c58f0da7bd0402fc2d49482eb845,3
0x96e861634b4c0e0a9e7c6a65dec549cc2a8a0e56,0
0x96e861634b4c0e0a9e7c6a65dec549cc2a8a0e56,1
0x96e861634b4c0e0a9e7c6a65dec549cc2a8a0e56,2
0x96e861634b4c0e0a9e7c6a65dec549cc2a8a0e56,3
0x0793886abcc2e243d890df1e76e1b84220f25615,0
0x0793886abcc2e243d890df1e76e1b84220f25615,1
0x0793886abcc2e243d890df1e76e1b84220f25615,2
0x57c25777bd6dffb3251306c0a6449bebb58a7af0,0
0x57c25777bd6dffb3251306c0a6449bebb58a7af0,1
0x57c25777bd6dffb3251306c0a6449bebb58a7af0,2
0x8764287b47e3681771b70c79686cfdca400326e4,0
0x8764287b47e3681771b70c79686cfdca400326e4,1
0x8764287b47e3681771b70c79686cfdca400326e4,2
0x0a98f97e89743406a8611e1b4219a073b60ffed3,0
0x0a98f97e89743406a8611e1b4219a073b60ffed3,1
0x14804c1d1f0300d55fff0b68849f6217638606a4,0
0x14804c1d1f0300d55fff0b68849f6217638606a4,1
0x23dc655c1a1fdbb62c8dc4daf78264746338dfa6,0
0x23dc655c1a1fdbb62c8dc4daf78264746338dfa6,1
0x248458947c120ca057ec028b3fe7e4b3f26fdb3d,0
0x248458947c120ca057ec028b3fe7e4b3f26fdb3d,1
0x25df4b60279bf1dc311f42eb2a4124f22240d68a,0
0x25df4b60279bf1dc311f42eb2a4124f22240d68a,1
0x3342d7df6806600dba1fcd48d1222825dfdbcb78,0
0x3342d7df6806600dba1fcd48d1222825dfdbcb78,1
0x3cb63b82d778105e43f064ed739b0655f1f0fb87,0
0x3cb63b82d778105e43f064ed739b0655f1f0fb87,1
0x4b6760682191de7e476b801b7ab42d8e8a5b041a,0
0x4b6760682191de7e476b801b7ab42d8e8a5b041a,1
0x61d9d9cc8c3203dab7100ea79ced77587201c990,0
0x61d9d9cc8c3203dab7100ea79ced77587201c990,1
0x69cb3b1de24e08f1cfc2994171b6c6930498f750,0
0x69cb3b1de24e08f1cfc2994171b6c6930498f750,1
0x6b52e83941eb10f9c613c395a834457559a80114,0
0x6b52e83941eb10f9c613c395a834457559a80114,1
0x6f113b0c8c7266d7514e4986e3d6aaf013b6754f,0
0x6f113b0c8c7266d7514e4986e3d6aaf013b6754f,1
0x729fcbb6e1289c88ce5113ec1c83a48a8e3c9f2f,0
0x729fcbb6e1289c88ce5113ec1c83a48a8e3c9f2f,1
0x7d93f170dfd65d14d58682678b7a0d171f287c93,0
0x7d93f170dfd65d14d58682678b7a0d171f287c93,1
0x8ba68cfe71550efc8988d81d040473709b7f9218,0
0x62DA56c6F6A58d9C0eFd4e67a9C05dD819f3019A,1
0x62DA56c6F6A58d9C0eFd4e67a9C05dD819f3019A,0
0x982d3c5223f6b5794fccb3208eb164d042cf2526,1
0x98949eaa1189181b765e5e6b8eb854484c8ea059,0
0x98949eaa1189181b765e5e6b8eb854484c8ea059,1
0x9dbd781eeba135ad2a779926880adc89196a3265,0
0x9dbd781eeba135ad2a779926880adc89196a3265,1
0xa71000e72d38e6a84d7190f59fd3dfc73931c0e8,0
0xa71000e72d38e6a84d7190f59fd3dfc73931c0e8,1
0xa7cafd18dd8bc1e23203058d66f89f0f0ee539d9,0
0xa7cafd18dd8bc1e23203058d66f89f0f0ee539d9,1
